+-----+-----------------------------------------------------------------------------------------------------------------------------+
|Brand|objs                                                                                                                         |
|25524|[{Z Alexander Brown Uncaged CS, 750mL}, {Z Alexander Brown Uncaged Ca, 750mL}]                                               |
|25843|[{Ch Bois du Fil Brdx, 750mL}, {Ch Tour Bel Air Brdx, 750mL}]                                                                |
|25863|[{Locations OR Pnt Nr, 750mL}, {Locations OR Red, 750mL}]                                                                    |
|26077|[{Ninety+Cellars Lot 129 Znfdl, 750mL}, {Ninety Cellars Lot 129 Znfdl, 750mL}]                                               |
|26340|[{Avancia 15 Cuvee De O Rose M, 750mL}, {Avancia 15 Cuvee Rose Mencia, 750mL}]                                               |
|26376|[{Orin Swift Palermo Cab Svgn, 750mL}, {Orin Swift Palmero Cab Svgn, 750mL}]                                                 |
|26377|[{Orin Swift D66 Grenache Cata, 750mL}, {D66 Grenache Catalanes, 750mL}]                                                     |
|26378|[{Fragile Rose VDP Catalanes, 750mL}, {Orin Swift Fragile Rose VDP, 750mL}]                                                  |
|26811|[{Canyon Rd Merlot Cal, 750mL}, {Canyon Road Merlot Cal, 750mL}]                                                             |
|27164|[{Guillaume Vrignaud Chablis, 750mL}, {Guillaume Vrignaud Chabls AC, 750mL}]                                                 |
|27172|[{Pecchenino 12 Siri d'Jermu D, 750mL}, {Pecchenino Siri d'Jermu D, 750mL}]                                                  |
|27546|[{NinetyCellars Lot 50 Prosec, 1.5L}, {Ninety+Cellars Lot 50 Prosec, 1.5L}]                                                  |
|27911|[{Ruffino Chianti Clsc Santeda, 750mL}, {Ruffino Chianti Clsc Santdam, 750mL}]                                               |
|28039|[{Canyon Rd Merlot, 1.5L}, {Canyon Road Merlot, 1.5L}]                                                                       |
|31083|[{Stags Leap Chard Napa, 750mL}, {Stags Leap WC Karia Chard, 750mL}]                                                         |
|31621|[{Novellum Chardonnay RSV VDP, 750mL}, {Novellum Chard Vin de France, 750mL}]                                                |
|32338|[{Stags Leap Svgn Bl Napa, 750mL}, {Stags Leap WC Aveta Svgn Bl, 750mL}]                                                     |
|33032|[{Rombauer Znfdl, 750mL}, {Rombauer El Dorado Znfdl, 750mL}]                                                                 |
|33035|[{Indaba Chard, 750mL}, {Cape Indaba Chard S Africa, 750mL}]                                                                 |
|33682|[{R Mondavi Pvt Slctn Cab Sv, 1.5L}, {R Mondavi Priv Slctn Cab Svg, 1.5L}]                                                   |
|33683|[{R Mondavi Privt Slct Chard, 1.5L}, {R Mondavi Private Slct Chard, 1.5L}]                                                   |
|33684|[{R Mondavi Private Slct Merlt, 1.5L}, {R Mondavi Pvt Sel Merlot, 1.5L}]                                                     |
|33966|[{Prunotto Barbaresco, 750mL}, {Prunotto Barolo DOCG, 750mL}]                                                                |
|33967|[{Prunotto Bric Touro Barbesco, 750mL}, {Prunotto Barbaresco Piedmont, 750mL}]                                               |
|34138|[{Fat Bastard Shiraz, 750mL}, {Fat Bastard Syrah, 750mL}]                                                                    |
|35464|[{Stags Leap Artemis Cab Svgn, 750mL}, {Stags Leap WC Artemis Cab, 750mL}]                                                   |
|35972|[{Cambas Mavrodafne of Patras, 750mL}, {Cavino Mavrodafne, 750mL}]                                                           |
|35977|[{Jaboulet CdRhone Wh Parel 45, 750mL}, {Jaboulet Cotes du Rhone Par, 750mL}]                                                |
|36080|[{La Chapelle Haut Brion 10, 750mL}, {Ch La Mission Haut Brion 10, 750mL}]                                                   |
|36200|[{Four Vines Truant Znfdl, 750mL}, {Four Vines Old Vine Zin, 750mL}]                                                         |
|36269|[{Stags Leap Merlot Napa, 750mL}, {Stags Leap WC Merlot, 750mL}]                                                             |
|36510|[{Yalumba Y Series Shrz/Viognr, 750mL}, {Yalumba Y Series Shiraz Ausl, 750mL}]                                               |
|37314|[{Dr Frank Semi-Dry Rsl, 750mL}, {Dr Frank Johannisberg Rsl, 750mL}]                                                         |
|37421|[{Stags Leap WC Cask 23 Cab, 750mL}, {Stags Leap Csk 23 Cab Svgn, 750mL}]                                                    |
|37422|[{Stags Leap Fay Cab Svgn Napa, 750mL}, {Stags Leap WC Fay Cab, 750mL}]                                                      |
|37798|[{Dr Frank Dry Rsl, 750mL}, {Dr Frank Johannisberg Rsl, 750mL}]                                                              |
|37902|[{Trapiche Broquel Cab Svgn Mz, 750mL}, {Trapcihe Broquel Cab Svgn Mz, 750mL}]                                               |
|39461|[{Stags Leap SLV Cab Svgn, 750mL}, {Stags Leap WC SLV Cab, 750mL}]                                                           |
|40767|[{Cinquante-Cinq Chard Langudc, 750mL}, {Cinquante-Cinq Chardonnay L, 750mL}]                                                |
|41070|[{Angeline Chard Rsv, 750mL}, {Angeline Chard RRV, 750mL}]                                                                   |
|41081|[{Gramona Grand Cve Cava Spklg, 750mL}, {Gramona Gran Cuve Cava Spklg, 750mL}]                                               |
|41231|[{Mad Dogs & Englishmen Jumila, 750mL}, {Mad Dogs & Englishmen Jumil, 750mL}]                                                |
|41864|[{Tintero Moscato D'Asti, 750mL}, {Elvio Tintero Moscato D'Asti, 750mL}]                                                     |
|41927|[{Ch Lamothe de Haux Wh Brdx, 750mL}, {Ch Lamothe de Haux Brdx Wh, 750mL}]                                                   |
|42167|[{Tempranillo Venta Mazzaron, 750mL}, {Tempranillo Vente Mazzaron, 750mL}]                                                   |
|42735|[{House Wine Red Wine, 750mL}, {Magnificent Wine Co House Re, 750mL}]                                                        |
|42874|[{Decoy by Duckhorn Red Sonoma, 750mL}, {Decoy by Duckhorn Red, 750mL}]                                                      |
|43143|[{La Puerta Torrontes, 750mL}, {Valle de la Puerta Torrontes, 750mL}]                                                        |
|43385|[{Three Thieves Bnd Pnt Grigio, Liter}, {Bandit Pinot Grigio, Liter}]                                                        |
|43553|[{La Puerta La Rioja Malbec, 750mL}, {La Puerta Malbec, 750mL}]                                                              |
|43789|[{Happy Camper Cab Svgn, 750mL}, {Oakhurst Happy Camp Cab Svgn, 750mL}]                                                      |
|43790|[{Happy Camper Chard, 750mL}, {Oakhurst Happy Camper Chard, 750mL}]                                                          |
|43937|[{P Jaboulet Hrmtg 10 Chapelle, 750mL}, {Jaboulet Hrmtg Chapelle, 750mL}, {Jaboulet Hrmtg 10 Chapelle, 750mL}]               |
|44613|[{Bodegas Borsao Rose, 750mL}, {Bodegas Borsao 14 Rose, 750mL}]                                                              |
|44666|[{San Guido Sassicaia Guildal, 750mL}, {Tenuta San Guido Guidalberto, 750mL}]                                                |
|44742|[{Gamba Znfdl Est RRV Old Vine, 750mL}, {Gamba Znfdl RRV Old Vine, 750mL}]                                                   |
|45322|[{Zabrin de Fuego Garnacha, 750mL}, {Garnacha de Fuego, 750mL}]                                                              |
|45331|[{Cono Sur Vision Cab Svgn, 750mL}, {Cono Sur Reserva Especial CS, 750mL}]                                                   |
|45334|[{Cono Sur Vision Svgn Bl Csbl, 750mL}, {Cono Sur Reserva Especial SB, 750mL}]                                               |
|45837|[{R Stemmler Winside Pnt Nr, 750mL}, {R Stemmler Nugent Pnt Nr, 750mL}]                                                      |
+-----+-----------------------------------------------------------------------------------------------------------------------------+



+-----+-----------------------+
|Brand|objs                   |
+-----+-----------------------+
|169  |[{25.0}, {25}]         |
|1136 |[{50mL 5 Pk}, {250mL}] |
|2250 |[{50mL 4 Pk}, {200mL}] |
|3085 |[{50mL 5 Pk}, {250mL}] |
|3121 |[{750mL}, {NULL}]      |
|5678 |[{750mL}, {NULL}]      |
|15365|[{750mL}, {NULL}]      |
|23266|[{750mL}, {375mL}]     |
|24896|[{750mL}, {500mL}]     |
|25197|[{750mL}, {750mL 4 Pk}]|
+-----+-----------------------+
